Easton, Maine  Redline   Brightness and Temperature
Plate gap:  1.0320 FSR:   71.4248 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
me241204   flats: me241204  quadratic background, Poisson weighting, ( sky  )   moon phase:  Waxing crescent 
avg. brightness Z (R):  137.6 +/- 77.7 avg. error:   3.9
avg. brightness N (R):    0.0 +/-  0.0 avg. error:   0.0  avg. brightness S (R):    0.0 +/-  0.0 avg. error:   0.0
avg. brightness E (R):    0.0 +/-  0.0 avg. error:   0.0  avg. brightness W (R):    0.0 +/-  0.0 avg. error:   0.0
avg. background Z (R):  203.0 +/- 98.0 avg. error:   2.1
avg. background N (R):    0.0 +/-  0.0 avg. error:   0.0  avg. background S (R):    0.0 +/-  0.0 avg. error:   0.0
avg. background E (R):    0.0 +/-  0.0 avg. error:   0.0  avg. background W (R):    0.0 +/-  0.0 avg. error:   0.0
     avg. temp. Z (K):  601.2 +/- 48.8 avg. error:   9.5
     avg. temp. N (K):    0.0 +/-  0.0 avg. error:   0.0  avg. temp. S (K):    0.0 +/-  0.0 avg. error:   0.0
     avg. temp. E (K):    0.0 +/-  0.0 avg. error:   0.0  avg. temp. W (K):    0.0 +/-  0.0 avg. error:   0.0
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
Location latitude: 46.68, longitude: -67.88
SS-Analyze V05.03
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
 109 26.40 0.017   0.0   0.0  105.31   3.571   181.7    1.96  581.578   9.312 26.5  1
 110 26.52 0.017   0.0   0.0  104.44   3.604   187.2    2.00  605.847   9.919 26.5  1
 111 26.56 0.017   0.0   0.0  103.37   3.586   186.7    1.99  601.198   9.898 26.5  1
 112 26.59 0.017   0.0   0.0  100.74   3.571   192.5    2.02  586.390   9.889 26.5  1
 113 26.63 0.017   0.0   0.0  102.69   3.588   189.7    2.01  596.046   9.894 26.5  1
 114 26.67 0.017   0.0   0.0  103.50   3.563   184.0    1.97  581.573   9.473 26.5  1
 115 26.71 0.017   0.0   0.0  108.91   3.618   180.8    1.96  600.330   9.408 26.6  1
 116 26.75 0.017   0.0   0.0  107.95   3.647   190.6    2.01  595.970   9.533 26.6  1
 117 26.78 0.017   0.0   0.0  105.65   3.637   196.1    2.04  586.203   9.580 26.6  1
 118 26.82 0.017   0.0   0.0  104.28   3.686   206.9    2.10  616.353  10.419 26.6  1
 119 26.86 0.017   0.0   0.0  104.00   3.684   205.0    2.10  627.974  10.645 26.6  1
 120 26.98 0.017   0.0   0.0   91.45   3.519   203.4    2.07  588.240  10.883 26.6  1
 121 27.02 0.017   0.0   0.0   91.36   3.509   199.9    2.06  595.467  10.991 26.6  1
 122 27.06 0.017   0.0   0.0   96.62   3.549   190.9    2.02  619.680  10.886 26.7  1
 123 27.10 0.017   0.0   0.0   98.91   3.541   184.9    1.99  611.689  10.427 26.7  1
 124 27.13 0.017   0.0   0.0   96.79   3.492   182.3    1.96  586.016  10.048 26.7  1
