Cachoeira Paulista (temp) Red Line Fabry-Perot  Brightness and Temperature
Plate gap:  1.0192 FSR:  108.9364 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
br220308   flats: br220308  quadratic background, Poisson weighting, ( sky  )   moon phase:  First quarter ; 
avg. brightness Z (R):  217.7 +/-173.5 avg. error:   5.0
avg. brightness N (R):  353.9 +/-230.3 avg. error:   6.3  avg. brightness S (R):  223.0 +/-219.8 avg. error:   4.9
avg. brightness E (R):  226.2 +/-206.7 avg. error:   5.0  avg. brightness W (R):  359.6 +/-259.1 avg. error:   6.4
avg. background Z (R):   82.0 +/- 76.5 avg. error:   8.0
avg. background N (R):  109.9 +/- 55.3 avg. error:  11.6  avg. background S (R):   85.4 +/- 68.1 avg. error:   8.5
avg. background E (R):   88.0 +/- 95.7 avg. error:   8.9  avg. background W (R):  127.9 +/-102.5 avg. error:  12.9
     avg. temp. Z (K):  928.4 +/- 56.0 avg. error:  12.9
     avg. temp. N (K):  925.5 +/- 47.4 avg. error:   9.6  avg. temp. S (K):  929.6 +/- 49.1 avg. error:  13.6
     avg. temp. E (K):  926.9 +/- 49.1 avg. error:  13.0  avg. temp. W (K):  939.4 +/- 52.8 avg. error:  10.1
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
Location latitude: -22.66, longitude: -45.01
SS-Analyze V05.02
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
 139 28.41 0.017 270.0  45.0  213.18   5.133    69.4   11.43  940.325   9.801 42.0  0
 140 28.51 0.017   0.0   0.0  123.73   3.987    49.3    1.35  940.573  13.261 42.0  0
 141 28.55 0.017   0.0  45.0  367.49   6.505    81.8   12.37  932.045   6.972 42.1  1
 142 28.59 0.017  90.0  45.0  123.53   3.973    48.1    1.33  938.507  13.182 42.1  0
 143 28.63 0.017 180.0  45.0  112.67   3.872    53.1    1.39  919.977  13.969 42.1  0
 144 28.67 0.017 270.0  45.0  256.00   5.554    74.8    1.67  940.206   8.746 42.1  0
 145 28.71 0.017   0.0   0.0  153.02   4.397    56.9    1.45  933.097  11.673 42.1  0
 146 28.75 0.017   0.0  45.0  465.74   7.254    92.4   13.16  930.527   6.083 42.1  1
 147 28.80 0.017  90.0  45.0  147.79   4.309    53.4    1.41  935.579  11.855 42.1  0
 148 28.84 0.017 180.0  45.0  132.19   4.181    59.0   10.44  932.654  13.034 42.1  0
 149 28.88 0.017 270.0  45.0  296.83   5.939    78.8   12.11  939.531   8.032 42.2  1
 150 28.98 0.017   0.0   0.0  179.83   4.681    56.3    1.44  926.989  10.383 42.2  0
 151 29.02 0.017   0.0  45.0  515.16   7.587    95.1   13.35  929.387   5.721 42.2  1
 152 29.07 0.017  90.0  45.0  185.89   4.748    55.5   10.08  928.150  10.197 42.2  0
 153 29.11 0.017 180.0  45.0  158.90   4.485    59.0   10.45  918.746  11.307 42.2  0
 154 29.15 0.017 270.0  45.0  360.66   6.459    82.2   12.39  939.209   7.121 42.2  1
 155 29.19 0.017   0.0   0.0  203.31   4.944    58.7   10.43  912.650   9.516 42.2  0
 156 29.23 0.017   0.0  45.0  569.26   7.957   102.4   13.76  920.399   5.366 42.2  1
 157 29.27 0.017  90.0  45.0  204.76   4.964    60.3    1.49  923.949   9.600 42.3  0
 158 29.31 0.017 180.0  45.0  179.99   4.742    64.1    1.53  917.408  10.479 42.3  0
 159 29.36 0.017 270.0  45.0  403.96   6.797    86.9   12.74  922.603   6.542 42.3  1
 160 29.46 0.017   0.0   0.0  229.18   5.193    59.0   10.39  907.247   8.750 42.3  0
 161 29.50 0.017   0.0  45.0  517.42   7.606    98.1   13.44  899.183   5.523 42.3  1
 162 29.54 0.017  90.0  45.0  216.67   5.101    62.4   10.68  909.881   9.183 42.3  0
 163 29.58 0.017 180.0  45.0  206.61   5.047    69.9    1.60  902.178   9.515 42.3  0
 164 29.62 0.017 270.0  45.0  426.68   6.974    90.4   12.90  916.070   6.303 42.4  1
 165 29.66 0.017   0.0   0.0  234.19   5.246    60.0   10.48  906.606   8.641 42.4  1
 166 29.70 0.017   0.0  45.0  535.15   7.729    98.9   13.51  918.846   5.543 42.4  1
 167 29.75 0.017  90.0  45.0  215.26   5.079    61.2   10.58  909.474   9.190 42.4  0
 168 29.79 0.017 180.0  45.0  216.48   5.109    64.2   10.82  899.681   9.114 42.4  0
 169 29.83 0.017 270.0  45.0  427.38   6.985    91.8   12.99  913.069   6.285 42.4  1
 170 29.93 0.017   0.0   0.0  217.82   5.088    59.9   10.45  896.996   8.948 42.4  0
 171 29.97 0.017   0.0  45.0  523.73   7.643    96.7   13.36  913.260   5.565 42.5  1
 172 30.01 0.017  90.0  45.0  194.07   4.863    60.7   10.52  901.994   9.735 42.5  0
 173 30.05 0.017 180.0  45.0  207.44   5.007    62.7   10.69  892.265   9.249 42.5  0
 174 30.09 0.017 270.0  45.0  402.43   6.777    86.5   12.61  907.747   6.437 42.5  1
 175 30.14 0.017   0.0   0.0  201.28   4.902    58.3    1.46  883.974   9.192 42.5  0
 176 30.18 0.017   0.0  45.0  419.86   6.883    84.6   12.47  897.833   6.171 42.5  1
